ImagePath,TrueScore,PredictedScore,trait
3432.jpg,3.0,3.132619380950928,attractiveness
3435.jpg,3.0,3.405672788619995,attractiveness
3448.jpg,3.0,3.0668413639068604,attractiveness
3498.jpg,3.0,2.845334768295288,attractiveness
3499.jpg,3.0,3.6861767768859854,attractiveness
3507.jpg,3.0,3.011679172515869,attractiveness
3512.jpg,3.0,3.0637381076812744,attractiveness
3514.jpg,3.0,2.5951037406921387,attractiveness
3564.jpg,3.0,2.795892238616944,attractiveness
3569.jpg,3.0,2.6848907470703125,attractiveness
3581.jpg,3.0,2.4741101264953613,attractiveness
3603.jpg,3.0,2.914198398590088,attractiveness
3630.jpg,3.0,2.889559507369995,attractiveness
3637.jpg,3.0,3.5398595333099365,attractiveness
3654.jpg,3.0,2.934443712234497,attractiveness
3702.jpg,3.0,3.183032751083374,attractiveness
3726.jpg,3.0,3.271587610244751,attractiveness
3732.jpg,3.0,2.9779152870178223,attractiveness
3748.jpg,3.0,2.6794564723968506,attractiveness
3749.jpg,3.0,2.751854181289673,attractiveness
3756.jpg,3.0,2.7102839946746826,attractiveness
3774.jpg,3.0,3.2170522212982178,attractiveness
3796.jpg,3.0,3.0322165489196777,attractiveness
3797.jpg,3.0,2.973738431930542,attractiveness
3799.jpg,3.0,2.7842798233032227,attractiveness
380.jpg,3.0,4.231655597686768,attractiveness
3835.jpg,3.0,2.631627559661865,attractiveness
3850.jpg,3.0,2.5905237197875977,attractiveness
3856.jpg,3.0,2.748326063156128,attractiveness
3887.jpg,3.0,3.3087270259857178,attractiveness
3893.jpg,3.0,2.1336727142333984,attractiveness
3932.jpg,3.0,2.548055648803711,attractiveness
4000.jpg,3.0,2.7646522521972656,attractiveness
4051.jpg,3.0,2.232871532440185,attractiveness
4056.jpg,3.0,3.3931586742401123,attractiveness
4058.jpg,3.0,2.772487163543701,attractiveness
406.jpg,3.0,3.218788385391236,attractiveness
4071.jpg,3.0,2.783057928085327,attractiveness
4106.jpg,3.0,2.6093761920928955,attractiveness
4148.jpg,3.0,3.2891290187835693,attractiveness
4167.jpg,3.0,2.654992818832397,attractiveness
4181.jpg,3.0,3.545227289199829,attractiveness
4212.jpg,3.0,3.2750132083892822,attractiveness
4226.jpg,3.0,3.269040584564209,attractiveness
4266.jpg,3.0,2.9668025970458984,attractiveness
427.jpg,3.0,2.737718343734741,attractiveness
4273.jpg,3.0,2.858995199203491,attractiveness
4312.jpg,3.0,2.650069236755371,attractiveness
4359.jpg,3.0,3.527322292327881,attractiveness
4374.jpg,3.0,2.879985809326172,attractiveness
4446.jpg,3.0,3.15697717666626,attractiveness
4455.jpg,3.0,2.687830686569214,attractiveness
4461.jpg,3.0,2.6866300106048584,attractiveness
4464.jpg,3.0,3.258427858352661,attractiveness
4470.jpg,3.0,2.7662622928619385,attractiveness
4475.jpg,3.0,2.9699079990386963,attractiveness
4492.jpg,3.0,3.165255308151245,attractiveness
4498.jpg,3.0,3.0863959789276123,attractiveness
4506.jpg,3.0,2.387864828109741,attractiveness
4515.jpg,3.0,2.723550081253052,attractiveness
4525.jpg,3.0,2.898967027664185,attractiveness
4591.jpg,3.0,2.638209819793701,attractiveness
4648.jpg,3.0,3.324138879776001,attractiveness
466.jpg,3.0,3.127362012863159,attractiveness
4661.jpg,3.0,3.806279420852661,attractiveness
4673.jpg,3.0,3.2257959842681885,attractiveness
4780.jpg,3.0,3.0143911838531494,attractiveness
4782.jpg,3.0,2.464428424835205,attractiveness
4783.jpg,3.0,3.626951217651367,attractiveness
48.jpg,3.0,3.059562921524048,attractiveness
4802.jpg,3.0,3.2050764560699463,attractiveness
4829.jpg,3.0,2.7899422645568848,attractiveness
4847.jpg,3.0,2.706458330154419,attractiveness
487.jpg,3.0,3.4922924041748047,attractiveness
4878.jpg,3.0,2.5762219429016118,attractiveness
489.jpg,3.0,3.1096630096435547,attractiveness
5115.jpg,3.0,3.073638200759888,attractiveness
5121.jpg,3.0,2.4414620399475098,attractiveness
5130.jpg,3.0,2.59659743309021,attractiveness
5225.jpg,3.0,2.555138111114502,attractiveness
526.jpg,3.0,3.0501697063446045,attractiveness
5264.jpg,3.0,3.084328413009644,attractiveness
573.jpg,3.0,2.6304290294647217,attractiveness
58.jpg,3.0,3.044683694839477,attractiveness
594.jpg,3.0,3.122406005859375,attractiveness
612.jpg,3.0,2.6174495220184326,attractiveness
654.jpg,3.0,2.614617109298706,attractiveness
672.jpg,3.0,3.311086893081665,attractiveness
685.jpg,3.0,3.226041078567505,attractiveness
687.jpg,3.0,3.6017439365386963,attractiveness
700.jpg,3.0,2.9306156635284424,attractiveness
723.jpg,3.0,3.033087968826294,attractiveness
728.jpg,3.0,3.321833848953247,attractiveness
739.jpg,3.0,3.3818018436431885,attractiveness
815.jpg,3.0,3.4776618480682373,attractiveness
839.jpg,3.0,3.1365137100219727,attractiveness
846.jpg,3.0,4.073706150054932,attractiveness
847.jpg,3.0,2.908653974533081,attractiveness
872.jpg,3.0,2.972433567047119,attractiveness
909.jpg,3.0,2.976663827896118,attractiveness
915.jpg,3.0,3.3702962398529053,attractiveness
925.jpg,3.0,2.5059351921081543,attractiveness
928.jpg,3.0,3.123014211654663,attractiveness
952.jpg,3.0,3.624259471893311,attractiveness
